## ① 読みの食い違い（雑音の型を除く）: 行 | 語 | 読み→音 | 位置 | 語の GOP
c906-1 | ロク | ∅→h |  | -1.2
c906-1 | にじゅう | ∅→h |  | 0.0
c910-1 | ウィンザー | w→u |  | -4.4
c912-1 | ドア | ∅→w |  | 0.0
c913-1 | ダグラス | su→shi |  | -3.5
c914-3 | 書き足さ | t→d |  | -6.3
c916-1 | 灯り | tomo→aka |  | -12.3
c917-2 | 直す手立てもあった | naosutedatemoaclta→∅ | 頭 | -3.8
ed01-1 | 視聴 | i→u |  | -3.9
ed01-2 | と | t→do | 尾 | -5.0
（雑音の型として除いた 23件）

## ② GOP が -8.0 未満なのに ① に出ない語: 行 | 語 | GOP
c112-2 | 足し | -8.7
c205-1 | そして | -9.0
c210-1 | 対し | -8.7
c211-1 | し | -8.1
c213-1 | 下 | -8.4
c217-2 | そして | -8.2
c219-2 | し | -8.5
c304-1 | 下 | -8.5
c317-1 | 消し | -8.1
c320-2 | 上と下 | -8.2
c404-1 | し | -9.1
c406-2 | し | -9.3
c408-1 | し | -9.0
c414-2 | し | -8.9
c417-1 | し | -8.6
c504-1 | し | -9.1
c505-1 | そして | -8.6
c505-2 | し | -8.7
c507-1 | し | -8.8
c509-3 | し | -8.9
c510-1 | し | -8.4
c510-2 | し | -8.7
c520-3 | 出し | -8.9
c521-3 | し | -8.3
c608-1 | し | -8.3
c609-1 | し | -8.9
c613-1 | し | -8.5
c618-3 | そして | -9.1
c619-1 | 押し | -8.8
c621-1 | 倒し | -8.2
c622-2 | そして | -8.7
c705-1 | 達し | -8.8
c706-1 | を | -8.7
c708-2 | し | -8.1
c714-1 | 達し | -9.5
c806-2 | し | -9.1
c810-3 | 通し | -8.2
c821-2 | そして | -8.6
c901-1 | 出し | -8.7
c909-1 | 出し | -8.5
c912-2 | し | -8.0
c913-1 | し | -8.6
c918-1 | そして | -8.7
c920-1 | ます | -9.7
ed01-1 | ございました | -9.5
ed01-3 | ます | -9.1

## ③ 句読点の無い所の間: 行 | 秒 | 長さ | 印 | 前｜後
c101-1 | 1.26 | 0.32 | 無印 | 年｜３月
c101-1 | 4.80 | 0.26 | 無印 | 北東｜三
c101-2 | 0.80 | 0.40 | 無印 | 航空｜きゅう
