cid	占有	最大の穴	下帯の空き	外接の余白	安全域を食う辺
ca09	occ  61.7%	hole 16.20%	band  36.8%	L0 R0 T48 B0	left(0) right(1920) top(48) bottom(1080)
ca12	occ  43.3%	hole 19.44%	band  86.5%	L0 R0 T51 B0	left(0) right(1920) top(51) bottom(1080)
ep01	occ 100.0%	hole  0.00%	band   0.0%	L0 R0 T0 B0	left(0) right(1920) top(0) bottom(1080)
ep03	occ  46.5%	hole 15.12%	band  50.7%	L0 R0 T49 B0	left(0) right(1920) top(49) bottom(1080)
ep05	occ  99.2%	hole  0.08%	band   0.0%	L0 R0 T0 B0	left(0) right(1920) top(0) bottom(1080)
ep06	occ 100.0%	hole  0.00%	band   0.0%	L0 R0 T0 B0	left(0) right(1920) top(0) bottom(1080)
pr01	occ  99.9%	hole  0.08%	band   0.0%	L0 R0 T0 B0	left(0) right(1920) top(0) bottom(1080)
pr05	occ  99.5%	hole  0.08%	band   0.0%	L0 R0 T0 B0	left(0) right(1920) top(0) bottom(1080)
pr06	occ  63.7%	hole 11.57%	band  42.7%	L0 R0 T48 B0	left(0) right(1920) top(48) bottom(1080)
pr07	occ  53.6%	hole 14.04%	band  53.1%	L0 R0 T49 B0	left(0) right(1920) top(49) bottom(1080)
pr12	occ  49.4%	hole 15.97%	band  47.2%	L0 R0 T48 B0	left(0) right(1920) top(48) bottom(1080)
