title	cat	w	h	mime	bd	lic	artist	credit	dto	hidden	desc	page	thumb	url
File:HONG KONG KAI TAK 19 OCT 1993 CHINA AIRLINES AIRBUS A300 B-1814.jpg	Category:B-1814 (aircraft)	2002	1336	image/jpeg	8	CC BY 2.0	simon butler	https://www.flickr.com/photos/antonov22/8580245260/	1993-10-19	CC-BY-2.0|Flickr images reviewed by FlickreviewR 2|Photographs by Simon Butler	HONG KONG KAI TAK 19 OCT 1993 CHINA AIRLINES AIRBUS A300 B-1814	https://commons.wikimedia.org/wiki/File:HONG_KONG_KAI_TAK_19_OCT_1993_CHINA_AIRLINES_AIRBUS_A300_B-1814.jpg	https://thumb.wikimedia.org/wikipedia/commons/thumb/9/9e/HONG_KONG_KAI_TAK_19_OCT_1993_CHINA_AIRLINES_AIRBUS_A300_B-1814.jpg/960px-HONG_KONG_KAI_TAK_19_OCT_1993_CHINA_AIRLINES_AIRBUS_A300_B-1814.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	https://upload.wikimedia.org/wikipedia/commons/9/9e/HONG_KONG_KAI_TAK_19_OCT_1993_CHINA_AIRLINES_AIRBUS_A300_B-1814.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original
File:18 30-9-86 B-1810 Don Mueang (52921749059).jpg	Category:B-1810 (aircraft)	2233	1345	image/jpeg	8	CC BY 2.0	Pete Macklin	18 30-9-86 B-1810 Don Mueang	1986-09-30	CC-BY-2.0|Flickr images reviewed by FlickreviewR 2|Photographs by Pete Macklin	18 30-9-86 B-1810 Don Mueang	https://commons.wikimedia.org/wiki/File:18_30-9-86_B-1810_Don_Mueang_(52921749059).jpg	https://thumb.wikimedia.org/wikipedia/commons/thumb/b/b7/18_30-9-86_B-1810_Don_Mueang_%2852921749059%29.jpg/960px-18_30-9-86_B-1810_Don_Mueang_%2852921749059%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	https://upload.wikimedia.org/wikipedia/commons/b/b7/18_30-9-86_B-1810_Don_Mueang_%2852921749059%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original
File:Airbus A300B4-220, China Airlines AN0213097.jpg	Category:B-1812 (Airbus A300)	1024	683	image/jpeg	8	GFDL 1.2	JetPix	Gallery page http://www.airliners.net/photo/China-Airlines/Airbus-A300B4-220/0213097/L Photo http://cdn-www.airliners.ne	15 April 1992 date QS:P571,+1992-04-15T00:00:00Z/11	Files uploaded in cooperation with blocked accounts|GFDL|GFDL-1.2|Images uploaded by Fæ|Images with infobox aircraft|Items with VRTS permission confirmed|Photos by Torsten Maiwald		https://commons.wikimedia.org/wiki/File:Airbus_A300B4-220,_China_Airlines_AN0213097.jpg	https://thumb.wikimedia.org/wikipedia/commons/thumb/8/81/Airbus_A300B4-220%2C_China_Airlines_AN0213097.jpg/960px-Airbus_A300B4-220%2C_China_Airlines_AN0213097.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	https://upload.wikimedia.org/wikipedia/commons/8/81/Airbus_A300B4-220%2C_China_Airlines_AN0213097.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original
File:Airbus A300B4-622R, China Airlines AN0193868.jpg	Category:N88887 (Airbus A300)	1024	685	image/jpeg	8	GFDL 1.2	JetPix	Gallery page http://www.airliners.net/photo/China-Airlines/Airbus-A300B4-622R/0193868/L Photo http://cdn-www.airliners.n	5 December 1996 date QS:P571,+1996-12-05T00:00:00Z/11	Files uploaded in cooperation with blocked accounts|GFDL|GFDL-1.2|Images uploaded by Fæ|Images with infobox aircraft|Items with VRTS permission confirmed|Photos by Torsten Maiwald	Ex PK-GAM	https://commons.wikimedia.org/wiki/File:Airbus_A300B4-622R,_China_Airlines_AN0193868.jpg	https://thumb.wikimedia.org/wikipedia/commons/thumb/5/5f/Airbus_A300B4-622R%2C_China_Airlines_AN0193868.jpg/960px-Airbus_A300B4-622R%2C_China_Airlines_AN0193868.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	https://upload.wikimedia.org/wikipedia/commons/5/5f/Airbus_A300B4-622R%2C_China_Airlines_AN0193868.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original
File:China Airlines Airbus A300B4-622R N88887.jpg	Category:N88887 (Airbus A300)	660	492	image/jpeg	8	GFDL 1.2	Gary Watt	https://www.airliners.net/photo/China-Airlines/Airbus-A300B4-622R/13047/L	November 1997	GFDL-1.2|Images with watermarks|Items with VRTS permission confirmed|Photos by Gary Watt	Aircraft A300 China Airlines Airbus A300B4-622R Reg.: N88887 MSN: 625 Location & Date Hong Kong - Kai Tak International (HKG / VHHH) [CLOSED] Hong Kong, China - November 1997 Caption -	https://commons.wikimedia.org/wiki/File:China_Airlines_Airbus_A300B4-622R_N88887.jpg	https://upload.wikimedia.org/wikipedia/commons/8/85/China_Airlines_Airbus_A300B4-622R_N88887.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled	https://upload.wikimedia.org/wikipedia/commons/8/85/China_Airlines_Airbus_A300B4-622R_N88887.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original
File:China Airlines B-1816 Airbus A300 at HK Airport.jpg	Category:B-1816 (Airbus A300)	1024	698	image/jpeg	8	GFDL 1.2	Alain Durand	https://www.airliners.net/user/uy707/profile/photos	1991-09-30	GFDL|GFDL-1.2|Items with VRTS permission confirmed|Photos by Alain Durand	China Airlines B-1816 Airbus A300 at HK airport	https://commons.wikimedia.org/wiki/File:China_Airlines_B-1816_Airbus_A300_at_HK_Airport.jpg	https://thumb.wikimedia.org/wikipedia/commons/thumb/9/91/China_Airlines_B-1816_Airbus_A300_at_HK_Airport.jpg/960px-China_Airlines_B-1816_Airbus_A300_at_HK_Airport.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	https://upload.wikimedia.org/wikipedia/commons/9/91/China_Airlines_B-1816_Airbus_A300_at_HK_Airport.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original
File:CI A300 B-1816.jpg	Category:B-1816 (Airbus A300)	10349	7026	image/jpeg	8	CC BY-SA 4.0	Aero Icarus	https://www.flickr.com/photos/aero_icarus/54478476530/	Unknown	CC-BY-SA-4.0|Creative Commons Attribution-Share Alike 4.0 missing SDC copyright license|Creative Commons Attribution-Share Alike missing SDC copyright status|Flickr images missing SDC copyright status|Flickr images reviewed by FlickreviewR 2	This A300 crashed 31 years ago on this day on approach to Nagoya, Japan...264 people lost their lives. RIP!	https://commons.wikimedia.org/wiki/File:CI_A300_B-1816.jpg	https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a3/CI_A300_B-1816.jpg/960px-CI_A300_B-1816.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	https://upload.wikimedia.org/wikipedia/commons/a/a3/CI_A300_B-1816.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original
File:Photo of China Airlines Airbus A300B4-622R B-1816 at Nagoya-Komaki International Airport (NGO, RJNN).jpg	Category:B-1816 (Airbus A300)	1200	800	image/jpeg	8	CC BY-SA 2.0	Guido Allieri	https://www.flickr.com/photos/guidojet/50639018057/	1993-04-13	CC-BY-SA-2.0|Flickr images missing SDC inception|Flickr images reviewed by FlickreviewR 2	A306-ChinaAl-B1816-047 China Airlines, founded in 1959, is the state-owned national carrier of the Republic of China (commonly known as Taiwan), and one of its two major airlines along with EVA Air. China Airlines operated 6 Airbus A.300B later supplemented by 14 of the updated series -600 version. B-1816 (c/n 580 series -622R) was delivered new in February 1991. The plane was lost on April 26th, 	https://commons.wikimedia.org/wiki/File:Photo_of_China_Airlines_Airbus_A300B4-622R_B-1816_at_Nagoya-Komaki_International_Airport_(NGO,_RJNN).jpg	https://thumb.wikimedia.org/wikipedia/commons/thumb/7/74/Photo_of_China_Airlines_Airbus_A300B4-622R_B-1816_at_Nagoya-Komaki_International_Airport_%28NGO%2C_RJNN%29.jpg/960px-Photo_of_China_Airlines_Airbus_A300B4-622R_B-1816_at_Nagoya-Komaki_International_Airport_%28NGO%2C_RJNN%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	https://upload.wikimedia.org/wikipedia/commons/7/74/Photo_of_China_Airlines_Airbus_A300B4-622R_B-1816_at_Nagoya-Komaki_International_Airport_%28NGO%2C_RJNN%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original
File:B-18501 A300B4-622R China Airlines NRT 22MAY03 (8449253161).jpg	Category:B-18501 (aircraft)	4336	2891	image/jpeg	8	CC BY-SA 3.0	Ken Fielding	Flickr	2013-01-25 14:15:01	CC-BY-SA-3.0|Items with VRTS permission confirmed|Photographs by Ken Fielding	Built in Oct-96 and delivered new to China Airlines. This aircraft was sold to Air Atlanta Icelandic in Oct-06 as TF-ELE and was converted into a freighter in Apr-07. It was sold to Maximus Air Cargo, UAE, in Dec-08 as A6-MXB. It's currently (Feb-13) on lease to Etihad Crystal Cargo and based in Abu Dhabi (AUH).	https://commons.wikimedia.org/wiki/File:B-18501_A300B4-622R_China_Airlines_NRT_22MAY03_(8449253161).jpg	https://thumb.wikimedia.org/wikipedia/commons/thumb/f/ff/B-18501_A300B4-622R_China_Airlines_NRT_22MAY03_%288449253161%29.jpg/960px-B-18501_A300B4-622R_China_Airlines_NRT_22MAY03_%288449253161%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	https://upload.wikimedia.org/wikipedia/commons/f/ff/B-18501_A300B4-622R_China_Airlines_NRT_22MAY03_%288449253161%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original
File:China Airlines Airbus A300 TTT-1.jpg	Category:B-18502 (aircraft)	1024	681	image/jpeg	8	GFDL 1.2	Tsung TsenTsan	http://www.airliners.net/photo/China-Airlines/Airbus-A300B4-622R/0595621/L/	2004-01-10	GFDL|GFDL-1.2|Items with VRTS permission confirmed|Photos by Tsung TsenTsan	China Airlines Airbus A300 @ Ngurah Rai Int'l Airport	https://commons.wikimedia.org/wiki/File:China_Airlines_Airbus_A300_TTT-1.jpg	https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f4/China_Airlines_Airbus_A300_TTT-1.jpg/960px-China_Airlines_Airbus_A300_TTT-1.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	https://upload.wikimedia.org/wikipedia/commons/f/f4/China_Airlines_Airbus_A300_TTT-1.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original
File:ChinaAirlines A300 fukuoka 20050925102120.jpg	Category:B-18502 (aircraft)	2655	1770	image/jpeg	8	CC0	Amayagan	Own work	2005-09-25 10:20:14	CC-Zero|Self-published work	チャイナエアライン エアバス A300 福岡空港	https://commons.wikimedia.org/wiki/File:ChinaAirlines_A300_fukuoka_20050925102120.jpg	https://thumb.wikimedia.org/wikipedia/commons/thumb/6/60/ChinaAirlines_A300_fukuoka_20050925102120.jpg/960px-ChinaAirlines_A300_fukuoka_20050925102120.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	https://upload.wikimedia.org/wikipedia/commons/6/60/ChinaAirlines_A300_fukuoka_20050925102120.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original
File:B-18503 A300B4-622R China A-l BKK 31MAR06 (5671122054).jpg	Category:B-18503 (aircraft)	1800	1200	image/jpeg	8	CC BY-SA 3.0	Ken Fielding	Flickr	2011-04-29 20:44:00	CC-BY-SA-3.0|Items with VRTS permission confirmed|Photographs by Ken Fielding	A picture of an airplane (name of it is on the file name).	https://commons.wikimedia.org/wiki/File:B-18503_A300B4-622R_China_A-l_BKK_31MAR06_(5671122054).jpg	https://thumb.wikimedia.org/wikipedia/commons/thumb/4/43/B-18503_A300B4-622R_China_A-l_BKK_31MAR06_%285671122054%29.jpg/960px-B-18503_A300B4-622R_China_A-l_BKK_31MAR06_%285671122054%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	https://upload.wikimedia.org/wikipedia/commons/4/43/B-18503_A300B4-622R_China_A-l_BKK_31MAR06_%285671122054%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original
File:China Airlines Airbus A300B4-622R Pichugin-1.jpg	Category:B-18503 (aircraft)	1500	997	image/jpeg	8	GFDL 1.2	Dmitriy Pichugin	http://www.airliners.net/photo/China-Airlines/Airbus-A300B4-622R/0998748/L/	2005-07-01	GFDL-1.2|Items with VRTS permission confirmed|Photos by Dmitriy Pichugin	China Airlines Airbus A300B4-622R @ Ngurah Rai Airport	https://commons.wikimedia.org/wiki/File:China_Airlines_Airbus_A300B4-622R_Pichugin-1.jpg	https://thumb.wikimedia.org/wikipedia/commons/thumb/0/00/China_Airlines_Airbus_A300B4-622R_Pichugin-1.jpg/960px-China_Airlines_Airbus_A300B4-622R_Pichugin-1.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	https://upload.wikimedia.org/wikipedia/commons/0/00/China_Airlines_Airbus_A300B4-622R_Pichugin-1.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original
